player,n_outside_box_shots,goals_scored,expected_goals,difference
steven nzonzi,63,4.0,2.0119994145893303,-1.9880005854106706
victor sanchez,64,4.0,2.021570927914332,-1.9784290720856674
wayne routledge,26,3.0,1.0385981173358427,-1.9614018826641568
franck ribery,86,5.0,3.043383638951613,-1.9566163610483884
george boyd,37,3.0,1.0475966502145113,-1.952403349785488
valere germain,28,3.0,1.0588416066199722,-1.9411583933800272
eden hazard,137,6.0,4.083815941066674,-1.9161840589333305
jan rosenthal,25,3.0,1.092390314043485,-1.9076096859565141
hasan salihamidzic,3,2.0,0.09981752138352476,-1.9001824786164754
ramires,37,3.0,1.136392118806229,-1.8636078811937713
raffael,117,6.0,4.149919218006598,-1.850080781993405
oussama assaidi,5,2.0,0.15070183843595839,-1.8492981615640416
nelson oliveira,62,4.0,2.198859404289079,-1.8011405957109214
jeankevin augustin,6,2.0,0.1996350427670495,-1.8003649572329503
demba ba,7,2.0,0.20678233778960198,-1.793217662210398
lars stindl,96,5.0,3.2101148437097295,-1.7898851562902733
daniel didavi,106,5.0,3.217070111730894,-1.782929888269107
cristian tello,39,3.0,1.2200672873810186,-1.7799327126189808
mikel san jose,8,2.0,0.223699710717266,-1.7763002892827342
esteban cambiasso,48,3.0,1.2374785070730483,-1.7625214929269517
adrien rabiot,39,3.0,1.2600569133789608,-1.739943086621039
ludovic obraniak,84,4.0,2.279757401263299,-1.7202425987367014
ryan babel,36,3.0,1.2856466148379917,-1.7143533851620076
allan saintmaximin,39,3.0,1.2996506619731676,-1.7003493380268315
yoann gourcuff,75,4.0,2.3066455381544158,-1.6933544618455856
arjen robben,125,6.0,4.308573601946766,-1.6914263980532358
ivica olic,30,3.0,1.32064813843615,-1.67935186156385
youssef ait bennasser,11,2.0,0.33343871821728566,-1.6665612817827142
thievy bifouma,7,2.0,0.34221493444424916,-1.6577850655557507
seko fofana,42,3.0,1.3516018163116903,-1.6483981836883104
luiz gustavo,77,4.0,2.3641509763090514,-1.635849023690949
alberto bueno,75,4.0,2.3819970693511046,-1.6180029306488952
romain alessandrini,113,5.0,3.3849835549613254,-1.615016445038675
fabien camus,79,4.0,2.387641210499895,-1.6123587895001052
camel meriem,15,2.0,0.39181630867427564,-1.6081836913257244
emil forsberg,9,2.0,0.40876791641476207,-1.591232083585238
benoit pedretti,49,3.0,1.4164629135800488,-1.5835370864199512
thomas ayasse,12,2.0,0.4326181510609909,-1.567381848939009
roberto soriano,103,5.0,3.4459358578906927,-1.5540641421093109
mohamed salah,43,3.0,1.4487927492347306,-1.5512072507652697
douglas costa,42,3.0,1.4546418742913336,-1.5453581257086662
alexy bosetti,10,2.0,0.4579008520495247,-1.542099147950475
jeremie boga,16,2.0,0.4714370626667972,-1.5285629373332026
landry nguemo,48,3.0,1.4932949186450657,-1.5067050813549345
pawel olkowski,17,2.0,0.5150708888697018,-1.4849291111302985
